channel,label
NA,0
NA,0
102Pd_BC1,0
104Pd_BC2,0
105Pd_BC3,0
106Pd_BC4,0
108Pd_BC5,0
110Pd_BC6,0
113In_CD235ab_CD61,0
115In_CD45,1
139La_CD66,1
141Pr_CD7,1
142Nd_CD19,1
143Nd_cPARP,0
144Nd_CD11b,1
145Nd_CD4,1
146Nd_CD8a,1
147Sm_CD11c,1
148Nd_pSTAT4,2
149Sm_pCREB,2
150Sm_pSTAT5,2
151Eu_CD123,1
152Sm_TCRgd,1
153Eu_pSTAT1,2
154Gd_pSTAT3,2
155Gd_CD45RA,1
156Gd_CD14,1
157Gd_CD38,1
158Gd_CD33,1
159Tb_pMAPKAPK2,2
160Gd_Tbet,1
161Dy_Ki67,2
162Dy_FoxP3,1
163Dy_CRTH2,1
164Dy_CD161,1
165Ho_CD16,1
166Er_pNFkB,2
167Er_pERK1_2,2
168Er_CD71,1
169Tm_CD25,1
170Er_CD3,1
171Yb_IkB,2
172Yb_pS6,2
173Yb_HLADR,1
174Yb_PD1,1
175Lu_pSTAT6,2
176Lu_CD56,1
191Ir_DNA1,0
193Ir_DNA2,0
beadDist,0